fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,price,nasd_price,next_year_date,next_year_price,nasd_ny_price,symbol,Nasdaq_Performance,Stock_Performance,Label
2020-12-31,4027000000,4027000000,4485000000,1240000000,-2515000000,186000000,,1127000000,5000000,-376000000,5000000,376000000,4027000000,77000000,,483000000,-2841000000,-663000000,376000000,-2515000000,-2805000000,-2465000000,-1982000000,-2178000000,62008000000,11095000000,245000000,6900000000,1614000000,1342000000,29055000000,,,6120000000,2029000000,4091000000,6619000000,,6619000000,1275000000,11175000000,77303000000,16569000000,1196000000,21114000000,2797000000,4448000000,52306000000,472000000,29324000000,2697000000,28410000000,29324000000,4135000000,1502000000,-6867000000,,-6664000000,6000000,621479522.0,-2863000000,2300000000,,,,,148000000,,,-2515000000,1696000000,1269000000,0,0,0,,0,,,0,216000000,,1443000000,,-2515000000,,-2178000000.0,2021-01-28,-3.86,-4.1212,0.2612,6.338,18.100000381469727,13337.160156,2022-01-28,15.640000343322754,13770.570313,AAL,3.2496434917970163,-13.591160145308345,0
2020-09-30,-2310000000,2833000000,5143000000,1156000000,-2871000000,70000000,,1941000000,5000000,-340000000,,340000000,3173000000,111000000,,498000000,-3095000000,-696000000,340000000,-2399000000,-2412000000,-2755000000,-2257000000,-2399000000,62773000000,12340000000,253000000,8300000000,1633000000,1135000000,58988000000,32256000000,16670000000,6130000000,2039000000,4091000000,8031000000,,8031000000,1288000000,10198000000,70037000000,16584000000,1077000000,21040000000,2710000000,4446000000,51717000000,,29593000000,2610000000,32203000000,29593000000,4107000000,1605000000,-5528000000,,-4487000000,5000000,508603895.0,-2604000000,214000000,,,,,577000000,,,-2399000000,923000000,1511000000,0,0,0,,0,,,0,2100000000,,0,,-2399000000,,-2399000000.0,2020-10-22,-5.54,-5.7547,0.2147,3.7309,13.149999618530272,11506.009766,2021-10-22,19.14999961853028,15090.200195,AAL,31.150594358012818,45.62737774946497,1
2020-06-30,-2601000000,1368000000,3969000000,866000000,-2486000000,43000000,,1133000000,10000000,-254000000,,254000000,1622000000,71000000,,499000000,-2659000000,-592000000,254000000,-2067000000,-2050000000,-2405000000,-1906000000,-2067000000,64544000000,13789000000,462000000,9800000000,1653000000,879000000,58620000000,33351000000,16493000000,6140000000,2049000000,4091000000,9351000000,,9351000000,1444000000,9081000000,67713000000,18000000000,1175000000,20689000000,2575000000,4379000000,49713000000,,28193000000,2471000000,27307000000,28193000000,4973000000,1416000000,-3169000000,,-2088000000,5000000,508556154.0,-908000000,262000000,,,,,388000000,,,-2067000000,-6799000000,7688000000,0,2000000,2000000,,0,,,0,7766000000,,1525000000,,-2067000000,,-2067000000.0,2020-07-23,-7.82,-7.8956,0.0756,0.9575,11.770000457763672,10461.419922,2021-07-23,21.200000762939453,14836.990234,AAL,41.825778380220946,80.11894595089508,1
2020-03-31,1241000000,8258000000,7017000000,2197000000,-2549000000,305000000,,2857000000,21000000,-257000000,,257000000,8515000000,-105000000,,560000000,-2890000000,-649000000,257000000,-2241000000,-2390000000,-2633000000,-2073000000,-2241000000,58580000000,7175000000,474000000,3600000000,1772000000,1020000000,58792000000,34206000000,16441000000,6150000000,2059000000,4091000000,3102000000,,3102000000,807000000,8580000000,61216000000,19213000000,1648000000,20081000000,3518000000,5270000000,42003000000,,21033000000,3415000000,23181000000,21033000000,3728000000,1336000000,-2636000000,,-21000000,4000000,422886533.0,-168000000,241000000,,,,,845000000,,,-2241000000,-162000000,526000000,0,171000000,171000000,,43000000,43000000,,0,1698000000,,-171000000,,196000000,,-2241000000.0,2020-04-30,-2.65,-2.3551,-0.2949,-12.5218,12.010000228881836,8889.549805,2021-04-30,21.71999931335449,13962.679688,AAL,57.06846796838436,80.84928309261723,1
2019-12-31,11189000000,11313000000,124000000,2633000000,729000000,503000000,,124000000,24000000,-265000000,,265000000,11313000000,83000000,,513000000,571000000,157000000,265000000,771000000,29000000,836000000,1349000000,414000000,59995000000,8206000000,280000000,3826000000,1851000000,1750000000,59116000000,34995000000,18659000000,6184000000,2084000000,4100000000,3546000000,,3546000000,779000000,8057000000,69242000000,18311000000,2062000000,18845000000,2861000000,4569000000,41802000000,558000000,20896000000,2749000000,23645000000,20896000000,3679000000,1453000000,-118000000,,2264000000,4000000,428202506.0,600000000,2353000000,,,,,1139000000,,,771000000,639000000,-1272000000,0,272000000,272000000,,43000000,43000000,,0,410000000,,-272000000,,771000000,,414000000.0,2020-01-23,1.15,1.1559,-0.0059,-0.5104,28.799999237060547,9402.480469,2021-01-22,15.81999969482422,13543.05957,AAL,44.03709334628769,-45.069444048919785,0
2019-09-30,4329000000,11627000000,7298000000,2854000000,808000000,424000000,,2508000000,34000000,-284000000,,284000000,11911000000,-1000000,,499000000,557000000,132000000,284000000,425000000,406000000,841000000,1340000000,425000000,61175000000,9572000000,312000000,5168000000,1800000000,1850000000,58455000000,34619000000,18500000000,6186000000,2095000000,4091000000,4856000000,,4856000000,754000000,8142000000,61015000000,19560000000,1932000000,19416000000,3608000000,5280000000,41455000000,,21055000000,3504000000,24559000000,21055000000,3582000000,1361000000,160000000,,1894000000,4000000,438035288.0,828000000,259000000,,,,,806000000,,,425000000,-469000000,-366000000,0,200000000,200000000,,45000000,45000000,,0,961000000,,-200000000,,425000000,,425000000.0,2019-10-24,1.42,1.3975,0.0225,1.61,29.40999984741211,8185.799805,2020-10-23,12.600000381469728,11548.280273,AAL,41.07699367319184,-57.15742792641174,0
2019-06-30,4615000000,11685000000,7070000000,2864000000,1153000000,401000000,,2277000000,35000000,-275000000,,275000000,11960000000,-31000000,,489000000,882000000,220000000,275000000,662000000,644000000,1157000000,1646000000,662000000,61967000000,9850000000,319000000,5407000000,1708000000,1943000000,59105000000,34702000000,18114000000,6196000000,2105000000,4091000000,5088000000,,5088000000,792000000,8313000000,61989000000,20123000000,2118000000,19764000000,3500000000,5139000000,41866000000,,21222000000,3417000000,22621000000,21222000000,3600000000,1367000000,-22000000,,1514000000,5000000,445262351.0,736000000,293000000,,,,,1018000000,,,662000000,-1933000000,1179000000,0,17000000,17000000,,44000000,44000000,,0,2189000000,,-17000000,,662000000,,662000000.0,2019-07-25,1.82,1.7883,0.0317,1.7726,31.670000076293945,8238.540039,2020-07-24,11.390000343322754,10363.179688,AAL,25.789031053345358,-64.03536370102964,0
2018-12-31,10711000000,10938000000,227000000,2748000000,571000000,472000000,,227000000,34000000,-261000000,7000000,268000000,10938000000,58000000,,473000000,396000000,71000000,261000000,571000000,253000000,664000000,1137000000,325000000,60580000000,8637000000,275000000,4760000000,1522000000,1706000000,49029000000,34098000000,17443000000,6228000000,2137000000,4091000000,4485000000,,4485000000,649000000,8694000000,73627000000,18096000000,1773000000,18150000000,3294000000,4948000000,42653000000,613000000,20566000000,3213000000,23779000000,20566000000,3769000000,1393000000,-169000000,,758000000,5000000,460610870.0,716000000,292000000,,,,,1009000000,,,571000000,-390000000,-354000000,0,0,0,,46000000,46000000,,0,205000000,,0,,571000000,,325000000.0,2019-01-24,1.04,1.0057,0.0343,3.4106,33.65999984741211,7073.459961,2020-01-24,27.63999938964844,9314.910156,AAL,31.68817251187379,-17.88473109047416,0
2018-09-30,4077000000,11294000000,7217000000,3043000000,685000000,395000000,,2341000000,29000000,-265000000,-3000000,262000000,11559000000,44000000,,468000000,496000000,124000000,265000000,341000000,355000000,758000000,1226000000,372000000,52635000000,9498000000,303000000,4855000000,1576000000,2170000000,49375000000,34223000000,17277000000,6238000000,2147000000,4091000000,4552000000,,4552000000,897000000,8914000000,66802000000,16348000000,1886000000,,2493000000,2493000000,36855000000,,25985000000,2493000000,23492000000,-242000000,3687000000,2366000000,-568000000,,-316000000,5000000,460559470.0,-77000000,262000000,,,,,1005000000,,,341000000,-548000000,634000000,791000000,0,0,,46000000,46000000,,0,1257000000,,0,,295000000,,372000000.0,2018-10-25,1.13,1.1253,0.0047,0.4177,32.369998931884766,7318.339844,2019-10-25,30.86000061035156,8243.120117,AAL,12.636476205162683,-4.664808067218818,0
2018-06-30,4369000000,11377000000,7008000000,2898000000,1004000000,3478000000,,5441000000,30000000,-266000000,-3000000,263000000,11643000000,-15000000,,457000000,756000000,200000000,266000000,566000000,541000000,1019000000,1476000000,556000000,52622000000,9176000000,293000000,4674000000,1522000000,1941000000,49694000000,34424000000,16725000000,6248000000,2157000000,4091000000,4381000000,,4381000000,1039000000,9022000000,53491000000,16669000000,2053000000,,2213000000,2213000000,36822000000,,,2213000000,,-233000000,3700000000,2357000000,-869000000,,-610000000,5000000,460502096.0,1094000000,294000000,,,,,952000000,,,566000000,-79000000,-1110000000,,376000000,376000000,,46000000,46000000,,0,656000000,,-376000000,,520000000,,556000000.0,2018-07-26,1.63,1.5907,0.0393,2.4706,40.02000045776367,7852.180176,2019-07-26,31.239999771118164,8330.209961,AAL,6.087860623232855,-21.93903194956669,0
